dataset,seed,model,status,rows,features,target_0_count,target_1_count,train_rows,validation_rows,test_rows,train_positive_count,validation_positive_count,test_positive_count,learning_rate,iterations,threshold,threshold_score,training_time_seconds,prediction_time_seconds,accuracy,majority_baseline_accuracy,accuracy_gain_over_majority,balanced_accuracy,majority_recall,minority_recall,minority_precision,minority_f1,minority_error_rate,false_positive_rate,mcc,roc_auc,average_precision,tn,fp,fn,tp
df2,2,gaar,ok,2407,299,2010,397,1541,385,481,252,70,75,0.01,1000,0.5,,1.7236701300134882,0.00035113299963995814,0.9230769230769231,0.8440748440748441,0.079002079002079,0.9218226600985222,0.9236453201970444,0.92,0.69,0.7885714285714286,0.08,0.07635467980295567,0.7542078744364789,0.9751067323481116,0.8749999472885729,375,31,6,69
df2,2,focal_loss,ok,2407,299,2010,397,1541,385,481,252,70,75,0.01,1000,0.5,,0.47760792303597555,0.0002504940493963659,0.8440748440748441,0.8440748440748441,0.0,0.5108702791461412,0.9950738916256158,0.02666666666666667,0.5,0.05063291139240506,0.9733333333333334,0.0049261083743842365,0.08685106649492301,0.8941871921182266,0.551700804737417,404,2,73,2
df2,2,f1_threshold,ok,2407,299,2010,397,1541,385,481,252,70,75,0.01,1000,0.24757575757575756,0.7755102040816326,0.42765384301310405,0.00022771302610635757,0.8835758835758836,0.8440748440748441,0.03950103950103945,0.844072249589491,0.9014778325123153,0.7866666666666666,0.5959595959595959,0.6781609195402298,0.21333333333333335,0.09852216748768473,0.6174815879394221,0.9265353037766831,0.7061762220424145,366,40,16,59
df2,2,gaar_focal_loss,ok,2407,299,2010,397,1541,385,481,252,70,75,0.01,1000,0.5,,1.7263497289968655,0.0002150359796360135,0.8648648648648649,0.8440748440748441,0.02079002079002079,0.8927750410509031,0.8522167487684729,0.9333333333333333,0.5384615384615384,0.6829268292682927,0.06666666666666667,0.1477832512315271,0.641715149920441,0.9524137931034483,0.790766040091764,346,60,5,70
df2,2,gaar_f1_threshold,ok,2407,299,2010,397,1541,385,481,252,70,75,0.01,1000,0.6435353535353535,0.8992248062015504,1.7712629979941994,0.00021641497733071446,0.9459459459459459,0.8440748440748441,0.10187110187110182,0.8810180623973727,0.9753694581280788,0.7866666666666666,0.855072463768116,0.8194444444444444,0.21333333333333335,0.024630541871921183,0.788671332555071,0.9751067323481116,0.8749999472885729,396,10,16,59
df2,2,focal_loss_f1_threshold,ok,2407,299,2010,397,1541,385,481,252,70,75,0.01,1000,0.38616161616161615,0.6904761904761905,0.47026394301792607,0.00020364596275612712,0.8440748440748441,0.8440748440748441,0.0,0.8206732348111658,0.854679802955665,0.7866666666666666,0.5,0.6113989637305699,0.21333333333333335,0.14532019704433496,0.5407444127281233,0.8941871921182266,0.551700804737417,347,59,16,59
df2,2,gaar_focal_loss_f1_threshold,ok,2407,299,2010,397,1541,385,481,252,70,75,0.01,1000,0.5643434343434344,0.8091603053435115,1.7382195900427178,0.0002391809830442071,0.9147609147609148,0.8440748440748441,0.07068607068607069,0.8462397372742201,0.9458128078817734,0.7466666666666667,0.717948717948718,0.7320261437908496,0.25333333333333335,0.054187192118226604,0.681554719215086,0.9524137931034483,0.790766040091764,384,22,19,56
df2,2,cagd,ok,2407,299,2010,397,1541,385,481,252,70,75,0.01,1000,0.5,,3.1910488510038704,0.00033414497738704085,0.9812889812889813,0.8440748440748441,0.13721413721413722,0.9454351395730706,0.9975369458128078,0.8933333333333333,0.9852941176470589,0.9370629370629371,0.10666666666666667,0.0024630541871921183,0.9276382260767155,0.9985221674876847,0.9917182909459131,405,1,8,67
df2,2,gaar_cagd,ok,2407,299,2010,397,1541,385,481,252,70,75,0.01,1000,0.5,,4.41218351299176,0.00023133499780669808,0.9896049896049897,0.8440748440748441,0.14553014553014554,0.9829720853858785,0.9926108374384236,0.9733333333333334,0.9605263157894737,0.9668874172185431,0.02666666666666667,0.007389162561576354,0.9607521537520675,0.999080459770115,0.9951546411401121,403,3,2,73
df2,2,focal_loss_cagd,ok,2407,299,2010,397,1541,385,481,252,70,75,0.01,1000,0.5,,3.155208118027076,0.0002560829743742943,0.9417879417879418,0.8440748440748441,0.09771309771309766,0.8296387520525451,0.9926108374384236,0.6666666666666666,0.9433962264150944,0.78125,0.3333333333333333,0.007389162561576354,0.7638394527169735,0.9803612479474548,0.9043987983222562,403,3,25,50
df2,2,cagd_f1_threshold,ok,2407,299,2010,397,1541,385,481,252,70,75,0.01,1000,0.33666666666666667,0.9481481481481482,3.1285592259955592,0.00023059803061187267,0.9833679833679834,0.8440748440748441,0.13929313929313925,0.9629720853858785,0.9926108374384236,0.9333333333333333,0.958904109589041,0.9459459459459459,0.06666666666666667,0.007389162561576354,0.9362394541831096,0.9985221674876847,0.9917182909459131,403,3,5,70
df2,2,gaar_focal_loss_cagd,ok,2407,299,2010,397,1541,385,481,252,70,75,0.01,1000,0.5,,4.456367585982662,0.0002570619690231979,0.9667359667359667,0.8440748440748441,0.12266112266112261,0.9585550082101806,0.9704433497536946,0.9466666666666667,0.8554216867469879,0.8987341772151899,0.05333333333333334,0.029556650246305417,0.8805104264483108,0.9945484400656814,0.9688019371820671,394,12,4,71
df2,2,gaar_cagd_f1_threshold,ok,2407,299,2010,397,1541,385,481,252,70,75,0.01,1000,0.44555555555555554,0.9420289855072463,4.389373907004483,0.00043661799281835556,0.9875259875259875,0.8440748440748441,0.1434511434511434,0.9817405582922825,0.9901477832512315,0.9733333333333334,0.948051948051948,0.9605263157894737,0.02666666666666667,0.009852216748768473,0.9532368231406713,0.999080459770115,0.9951546411401121,402,4,2,73
df2,2,focal_loss_cagd_f1_threshold,ok,2407,299,2010,397,1541,385,481,252,70,75,0.01,1000,0.43565656565656563,0.8676470588235294,3.1635935889789835,0.0005355230532586575,0.9459459459459459,0.8440748440748441,0.10187110187110182,0.8973234811165846,0.9679802955665024,0.8266666666666667,0.8266666666666667,0.8266666666666667,0.17333333333333334,0.03201970443349754,0.7946469622331691,0.9803612479474548,0.9043987983222562,393,13,13,62
